Apples (1kg),110
Banana (1kg),118
Beef Round (1kg) (or Equivalent Back Leg Red Meat),121
Bottle of Wine (Mid-Range),14
Chicken Fillets (1kg),19
Cigarettes 20 Pack (Marlboro),17
Domestic Beer (0.5 liter bottle),15
Eggs (regular) (12),11
Imported Beer (0.33 liter bottle),16
Lettuce (1 head),113
Loaf of Fresh White Bread (500g),9
Local Cheese (1kg),12
Milk (regular), (1 liter),8
Onion (1kg),119
Oranges (1kg),111
Potato (1kg),112
Rice (white), (1kg),115
Tomato (1kg),116
Water (1.5 liter bottle),13
